s,X,Y,phi,kappa,w
-2.701408344537779840e+02,8.484515748453119954e+00,2.490474080234820420e+01,5.589090741408833107e-01,-5.602705086514730287e-02,1.500000000000000000e+00
-2.695471183182621076e+02,8.993038720282324761e+00,2.521113344123637034e+01,5.256014981990295709e-01,-5.622416937137846016e-02,1.500000000000000000e+00
-2.689534021827462311e+02,9.511505936368916281e+00,2.550038158354474049e+01,4.921297765552750114e-01,-5.654050499948029551e-02,1.500000000000000000e+00
-2.683596860472304115e+02,1.003939824885755350e+01,2.577206538066969088e+01,4.584236642479293522e-01,-5.713098136885195327e-02,1.500000000000000000e+00
-2.677659699117145351e+02,1.057620533191998646e+01,2.602568302110493903e+01,4.242226446178603005e-01,-5.808736270543718438e-02,1.500000000000000000e+00
-2.671722537761986587e+02,1.112139344107298911e+01,2.626061946601888764e+01,3.894372102021237403e-01,-5.910734828629594234e-02,1.500000000000000000e+00
-2.665785376406828391e+02,1.167453870721804776e+01,2.647635706083450557e+01,3.543215598069586747e-01,-5.907500743202812737e-02,1.500000000000000000e+00
-2.659848215051669627e+02,1.223487035581567994e+01,2.667254799037425528e+01,3.192729502143725195e-01,-5.900564100763636133e-02,1.500000000000000000e+00
-2.653911053696510862e+02,1.280174539443089010e+01,2.684898721796811927e+01,2.841501752613795340e-01,-5.976329975120391047e-02,1.500000000000000000e+00
-2.647973892341352666e+02,1.337455813177616726e+01,2.700518715850257578e+01,2.480904929914724555e-01,-6.171174111275227331e-02,1.500000000000000000e+00
-2.642036730986193902e+02,1.395257703816306183e+01,2.714026779925232447e+01,2.108617462884334604e-01,-6.372501062466459643e-02,1.500000000000000000e+00
-2.636099569631035138e+02,1.453531715963474014e+01,2.725357032190012774e+01,1.734020922415433485e-01,-6.207544320339676569e-02,1.500000000000000000e+00
-2.630162408275876373e+02,1.512186992095077898e+01,2.734532772468531547e+01,1.371535988554994923e-01,-6.004498663705841455e-02,1.500000000000000000e+00
-2.624225246920718178e+02,1.571133675513415540e+01,2.741610926682842120e+01,1.019510185470573482e-01,-5.923094493058975868e-02,1.500000000000000000e+00
-2.618288085565559413e+02,1.630291175404409287e+01,2.746608118591829850e+01,6.649716863258681165e-02,-6.021119566380927352e-02,1.500000000000000000e+00
-2.612350924210400649e+02,1.689589401911674216e+01,2.749487611616239846e+01,3.044255538554141438e-02,-6.125260801009364126e-02,1.500000000000000000e+00
-2.606413762855241885e+02,1.748942947617833710e+01,2.750228014738642202e+01,-5.165004011992380129e-03,-5.827014642721938670e-02,1.500000000000000000e+00
-2.600476601500083689e+02,1.808299367732023555e+01,2.748914730531812012e+01,-3.873853707824470582e-02,-5.483461034291738090e-02,1.500000000000000000e+00
-2.594539440144924924e+02,1.867587672451601222e+01,2.745667638401475941e+01,-7.052050608014348576e-02,-5.342658533487683326e-02,1.500000000000000000e+00
-2.588602278789766160e+02,1.926735107613258080e+01,2.740535108849551804e+01,-1.027756635511507532e-01,-5.523979084104570919e-02,1.500000000000000000e+00
-2.582665117434607964e+02,1.985681347925505236e+01,2.733465770066988298e+01,-1.361273818675146074e-01,-5.711923705168792803e-02,1.500000000000000000e+00
-2.576727956079449200e+02,2.044350453865062889e+01,2.724414904261410442e+01,-1.698982195385569938e-01,-5.634448524474568176e-02,1.500000000000000000e+00
-2.570790794724290436e+02,2.102689918523141444e+01,2.713405712846694939e+01,-2.030257138109019532e-01,-5.525686366755837298e-02,1.500000000000000000e+00
-2.564853633369132240e+02,2.160639766148466734e+01,2.700487128996056541e+01,-2.356371957575211784e-01,-5.523273928302424585e-02,1.500000000000000000e+00
-2.558916472013973475e+02,2.218129666644908227e+01,2.685672600568839741e+01,-2.689387753281367033e-01,-5.696241427450705885e-02,1.500000000000000000e+00
-2.552979310658814711e+02,2.275088618092617665e+01,2.668921549496741363e+01,-3.032912775520986148e-01,-5.876371463379317234e-02,1.500000000000000000e+00
-2.547042149303656231e+02,2.331425869269279261e+01,2.650198373002357499e+01,-3.385209301962259776e-01,-5.982820275450609349e-02,1.500000000000000000e+00
-2.541104987948497467e+02,2.387064103576376795e+01,2.629485523516763834e+01,-3.743438739867550602e-01,-6.085724714774665839e-02,1.500000000000000000e+00
-2.535167826593338987e+02,2.441920103550012300e+01,2.606774661373847835e+01,-4.108534310649867294e-01,-6.244669190450093110e-02,1.500000000000000000e+00
-2.529230665238180222e+02,2.495894913571386553e+01,2.582044077826134654e+01,-4.486829468644746299e-01,-6.500136242235499129e-02,1.500000000000000000e+00
-2.523293503883021742e+02,2.548869856698758696e+01,2.555251849206621628e+01,-4.880591492864847503e-01,-6.766378782315697615e-02,1.500000000000000000e+00
