s,X,Y,phi,kappa,w
-2.872034356619454343e+02,-9.298788686132260395e+00,2.076510214004771981e+01,2.763514612368748402e+00,2.326594304651576767e-02,1.500000000000000000e+00
-2.865790803839360592e+02,-9.880547561189400696e+00,2.099165271739362382e+01,2.776483246922254455e+00,1.881007948916237071e-02,1.500000000000000000e+00
-2.859547251059267410e+02,-1.046499078600450083e+01,2.121134383182622329e+01,2.787265561688212490e+00,1.572718308855216435e-02,1.500000000000000000e+00
-2.853303698279174228e+02,-1.105150088958786903e+01,2.142526313715634245e+01,2.796121127084470359e+00,1.264195764530699762e-02,1.500000000000000000e+00
-2.847060145499080477e+02,-1.163973799218494243e+01,2.163459118482252208e+01,2.802939931065786539e+00,9.196676545250290213e-03,1.500000000000000000e+00
-2.840816592718987295e+02,-1.222914099890098782e+01,2.184052895621907808e+01,2.807604886562845792e+00,5.746666803201203565e-03,1.500000000000000000e+00
-2.834573039938894112e+02,-1.281929026627514290e+01,2.204434932207383113e+01,2.810154827790771748e+00,2.503093732024879586e-03,1.500000000000000000e+00
-2.828329487158800362e+02,-1.340975969994925698e+01,2.224724653320882339e+01,2.810746976747175552e+00,-6.063445587588602330e-04,1.500000000000000000e+00
-2.822085934378707179e+02,-1.400014400528120717e+01,2.245036426943300611e+01,2.809401021740408400e+00,-3.664832233512192033e-03,1.500000000000000000e+00
-2.815842381598613429e+02,-1.459007564157592718e+01,2.265482901500764257e+01,2.806217251824526304e+00,-6.533731475680459519e-03,1.500000000000000000e+00
-2.809598828818520246e+02,-1.517915710634679805e+01,2.286169466544737361e+01,2.801242329608336856e+00,-9.402534311831363401e-03,1.500000000000000000e+00
-2.803355276038427064e+02,-1.576697121664166268e+01,2.307203130330283258e+01,2.794302677227320508e+00,-1.294482151307615146e-02,1.500000000000000000e+00
-2.797111723258333313e+02,-1.635309992655951561e+01,2.328712416977636224e+01,2.785071924485289507e+00,-1.662291570324576223e-02,1.500000000000000000e+00
-2.790868170478240131e+02,-1.693690920707278735e+01,2.350826576364016418e+01,2.773558620834398525e+00,-2.022009224569496985e-02,1.500000000000000000e+00
-2.784624617698146949e+02,-1.751785538727286351e+01,2.373674655071509321e+01,2.759844808769577273e+00,-2.371269202217451966e-02,1.500000000000000000e+00
-2.778381064918053198e+02,-1.809559259612486315e+01,2.397390038100206766e+01,2.743947690462125610e+00,-2.737971616002041197e-02,1.500000000000000000e+00
-2.772137512137960016e+02,-1.866864444610423135e+01,2.422090743194640794e+01,2.724505057259355656e+00,-3.492951282455488554e-02,1.500000000000000000e+00
-2.765893959357866834e+02,-1.923660506578965368e+01,2.448054660166091523e+01,2.700342147393394843e+00,-4.244110838612875913e-02,1.500000000000000000e+00
-2.759650406577773083e+02,-1.979730827598091736e+01,2.475505624038767749e+01,2.671502409850470272e+00,-4.998622208845986126e-02,1.500000000000000000e+00
-2.753406853797679901e+02,-2.034921913825707662e+01,2.504695796651415307e+01,2.637893691043583289e+00,-5.768723565463310804e-02,1.500000000000000000e+00
-2.747163301017586718e+02,-2.089055420763291337e+01,2.535873563357117533e+01,2.599255739934676068e+00,-6.764398241644813126e-02,1.500000000000000000e+00
-2.740919748237492968e+02,-2.141813745969323790e+01,2.569334768214955744e+01,2.551740049457905002e+00,-8.457608840991508170e-02,1.500000000000000000e+00
