s,X,Y,phi,kappa,w
-2.747684399472765335e+02,3.931496944341895006e+00,3.858808038892404113e+01,1.021308760060510190e+00,1.512883538536760782e-03,1.500000000000000000e+00
-2.741396792119979295e+02,4.259646491471157148e+00,3.912442330286346959e+01,1.022082516495113280e+00,9.483196264171954437e-04,1.500000000000000000e+00
-2.735109184767192687e+02,4.587470143396973121e+00,3.966096052123271676e+01,1.022523362952164838e+00,4.560870330436757997e-04,1.500000000000000000e+00
-2.728821577414406647e+02,4.915139792144527675e+00,4.019759151986996670e+01,1.022656077457474444e+00,-3.394113608557299206e-05,1.500000000000000000e+00
-2.722533970061620039e+02,5.242821085440652951e+00,4.073421663209354193e+01,1.022483939710965073e+00,-5.068047882020913992e-04,1.500000000000000000e+00
-2.716246362708833431e+02,5.570672808531203835e+00,4.127073661397371040e+01,1.022020158485905883e+00,-9.684201146252902721e-04,1.500000000000000000e+00
-2.709958755356047391e+02,5.898850393790648461e+00,4.180705563235392930e+01,1.021266343316090897e+00,-1.426979968797775821e-03,1.500000000000000000e+00
-2.703671148003260782e+02,6.227509903448761541e+00,4.234308219818266394e+01,1.020228324640551687e+00,-1.874807855428122904e-03,1.500000000000000000e+00
-2.697383540650474174e+02,6.556799627243600881e+00,4.287871864275480505e+01,1.018908732414671503e+00,-2.322640799590931608e-03,1.500000000000000000e+00
-2.691095933297688134e+02,6.886867223057795862e+00,4.341387640184399288e+01,1.017334715661811773e+00,-2.669521936404502336e-03,1.500000000000000000e+00
-2.684808325944901526e+02,7.217833064223891704e+00,4.394848017378630800e+01,1.015552536471019174e+00,-2.999334497427421069e-03,1.500000000000000000e+00
-2.678520718592114918e+02,7.549804452785463305e+00,4.448245549596855852e+01,1.013562735654686131e+00,-3.330964585746820899e-03,1.500000000000000000e+00
-2.672233111239328878e+02,7.882893568315621380e+00,4.501573450050576497e+01,1.011363487243377657e+00,-3.664552822021525241e-03,1.500000000000000000e+00
-2.665945503886542269e+02,8.217215954960355617e+00,4.554825319127678540e+01,1.008953352571359208e+00,-4.032309912409786160e-03,1.500000000000000000e+00
-2.659657896533756229e+02,8.552887975218943950e+00,4.607989541734361438e+01,1.006212698849045850e+00,-4.685513262407209334e-03,1.500000000000000000e+00
-2.653370289180969621e+02,8.890139434670921048e+00,4.661056949543429795e+01,1.003061288784764526e+00,-5.338447726401810735e-03,1.500000000000000000e+00
-2.647082681828183013e+02,9.229190347982582310e+00,4.714007858860047406e+01,9.992818757783663575e-01,-6.945570277031956272e-03,1.500000000000000000e+00
-2.640795074475396973e+02,9.570555033053432581e+00,4.766810573863371303e+01,9.942958001107282673e-01,-8.914432181989527526e-03,1.500000000000000000e+00
-2.634507467122610365e+02,9.914886752805172065e+00,4.819422215904970130e+01,9.880095700602391506e-01,-1.143336231021697610e-02,1.500000000000000000e+00
-2.628219859769823756e+02,1.026301203741148349e+01,4.871783155778496166e+01,9.797184487770747019e-01,-1.493968883875262769e-02,1.500000000000000000e+00
-2.621932252417037716e+02,1.061601697684111834e+01,4.923811311675230939e+01,9.692219339689666091e-01,-1.845010039461562196e-02,1.500000000000000000e+00
