color,X,Y
blue,-1.49163,4.40123
blue,-1.49138,4.4281
blue,-1.49112,4.45496
blue,-1.49086,4.48183
blue,-1.49059,4.5087
blue,-1.49033,4.53557
blue,-1.49005,4.56244
blue,-1.48978,4.5893
blue,-1.48949,4.61617
blue,-1.48921,4.64304
blue,-1.48892,4.66991
blue,-1.48862,4.69677
blue,-1.48832,4.72364
blue,-1.48802,4.75051
blue,-1.48771,4.77738
blue,-1.4874,4.80424
blue,-1.48708,4.83111
blue,-1.48676,4.85798
blue,-1.48643,4.88484
blue,-1.4861,4.91171
blue,-1.48576,4.93858
blue,-1.48542,4.96545
blue,-1.48507,4.99231
blue,-1.48472,5.01918
blue,-1.48436,5.04605
blue,-1.484,5.07291
blue,-1.48363,5.09978
blue,-1.48326,5.12664
blue,-1.48288,5.15351
blue,-1.4825,5.18038
blue,-1.48211,5.20724
blue,-1.48171,5.23411
blue,-1.48132,5.26098
blue,-1.48091,5.28784
blue,-1.4805,5.31471
blue,-1.48008,5.34157
blue,-1.47966,5.36844
blue,-1.47923,5.3953
blue,-1.4788,5.42217
blue,-1.47836,5.44903
blue,-1.47792,5.4759
blue,-1.47746,5.50276
blue,-1.47701,5.52963
blue,-1.47655,5.55649
blue,-1.47608,5.58336
blue,-1.4756,5.61022
blue,-1.47512,5.63709
blue,-1.47463,5.66395
blue,-1.47414,5.69082
blue,-1.47364,5.71768
blue,-1.47313,5.74455
blue,-1.47262,5.77141
blue,-1.4721,5.79827
blue,-1.47158,5.82514
blue,-1.47104,5.852
blue,-1.47051,5.87886
blue,-1.46996,5.90573
blue,-1.46941,5.93259
blue,-1.46885,5.95945
blue,-1.46828,5.98632
blue,-1.46771,6.01318
blue,-1.46713,6.04004
blue,-1.46655,6.0669
blue,-1.46595,6.09377
blue,-1.46535,6.12063
blue,-1.46475,6.14749
blue,-1.46413,6.17435
blue,-1.46351,6.20121
blue,-1.46288,6.22808
blue,-1.46225,6.25494
blue,-1.46161,6.2818
blue,-1.46096,6.30866
blue,-1.4603,6.33552
blue,-1.45963,6.36238
blue,-1.45896,6.38924
blue,-1.45828,6.4161
