color,X,Y
blue,-1.4951,2.58695
blue,-1.49446,2.74758
blue,-1.49385,2.9082
blue,-1.49329,3.06883
blue,-1.49279,3.22946
blue,-1.49236,3.39009
blue,-1.49202,3.55071
blue,-1.49178,3.71134
blue,-1.49165,3.87197
blue,-1.49166,4.0326
blue,-1.49181,4.19323
blue,-1.49212,4.35385
blue,-1.4926,4.51448
blue,-1.49327,4.67511
blue,-1.49413,4.83574
blue,-1.49521,4.99637
blue,-1.49652,5.15699
blue,-1.49807,5.31762
blue,-1.49987,5.47825
blue,-1.50194,5.63888
blue,-1.5043,5.79949
blue,-1.50695,5.96009
blue,-1.50992,6.12069
blue,-1.51321,6.28128
blue,-1.51685,6.44186
blue,-1.52084,6.60244
blue,-1.52521,6.76301
blue,-1.52997,6.92357
blue,-1.53513,7.08412
blue,-1.54071,7.24465
blue,-1.54673,7.40517
blue,-1.55319,7.56567
blue,-1.56013,7.72615
blue,-1.56754,7.88661
blue,-1.57544,8.04705
blue,-1.58386,8.20747
blue,-1.5928,8.36785
blue,-1.60228,8.52822
blue,-1.61232,8.68855
blue,-1.62294,8.84886
blue,-1.63413,9.00913
blue,-1.64594,9.16936
blue,-1.65836,9.32954
blue,-1.67142,9.48967
blue,-1.68513,9.64974
blue,-1.6995,9.80975
blue,-1.71456,9.96969
blue,-1.73032,10.1296
blue,-1.7468,10.2893
blue,-1.76401,10.4491
blue,-1.78197,10.6087
blue,-1.80069,10.7682
blue,-1.82019,10.9276
blue,-1.84048,11.0869
blue,-1.86159,11.2461
blue,-1.88353,11.4052
blue,-1.90631,11.5641
blue,-1.92995,11.723
blue,-1.95446,11.8817
blue,-1.97982,12.0403
blue,-2.00602,12.1988
blue,-2.03305,12.3571
blue,-2.0609,12.5153
blue,-2.08956,12.6734
blue,-2.11902,12.8313
blue,-2.14927,12.989
blue,-2.1803,13.1467
blue,-2.21211,13.3041
blue,-2.24467,13.4614
blue,-2.27798,13.6186
blue,-2.31204,13.7755
blue,-2.34682,13.9324
blue,-2.38233,14.089
blue,-2.41854,14.2455
blue,-2.45545,14.4019
blue,-2.49306,14.558
blue,-2.53133,14.714
blue,-2.57024,14.8698
blue,-2.60974,15.0255
blue,-2.6498,15.181
blue,-2.69038,15.3364
blue,-2.73143,15.4917
blue,-2.77293,15.6469
blue,-2.81481,15.8019
blue,-2.85706,15.9569
blue,-2.89962,16.1118
blue,-2.94246,16.2666
blue,-2.98553,16.4214
blue,-3.0288,16.5761
blue,-3.07223,16.7308
blue,-3.11577,16.8854
blue,-3.15939,17.04
blue,-3.20304,17.1947
blue,-3.2467,17.3493
blue,-3.29029,17.5039
blue,-3.3338,17.6584
blue,-3.37719,17.8131
blue,-3.42042,17.9677
blue,-3.46345,18.1224
blue,-3.50625,18.2772
blue,-3.54878,18.432
blue,-3.591,18.587
blue,-3.63288,18.742
blue,-3.67437,18.8972
blue,-3.71544,19.0524
blue,-3.75606,19.2078
blue,-3.79617,19.3634
blue,-3.83576,19.5191
blue,-3.87477,19.6749
blue,-3.91317,19.8309
blue,-3.95092,19.9872
blue,-3.988,20.1436
blue,-4.02434,20.3002
blue,-4.05988,20.4568
blue,-4.0946,20.6136
blue,-4.12847,20.7707
blue,-4.16142,20.9279
blue,-4.1934,21.0854
blue,-4.22437,21.243
blue,-4.25427,21.4009
blue,-4.28305,21.559
blue,-4.31065,21.7172
blue,-4.33703,21.8757
blue,-4.36214,22.0343
blue,-4.38591,22.1932
blue,-4.4083,22.3522
blue,-4.42927,22.5114
blue,-4.44874,22.6708
blue,-4.46668,22.8304
blue,-4.48304,22.9902
blue,-4.49775,23.1501
blue,-4.51078,23.3104
blue,-4.52208,23.4709
blue,-4.53158,23.6315
blue,-4.53926,23.7923
blue,-4.54506,23.9531
blue,-4.54895,24.1139
blue,-4.55087,24.2747
blue,-4.55079,24.4355
blue,-4.54866,24.5963
blue,-4.54445,24.7569
blue,-4.53809,24.9174
blue,-4.52956,25.0777
blue,-4.51881,25.2378
blue,-4.5058,25.3978
blue,-4.49048,25.5574
blue,-4.47281,25.7168
blue,-4.45275,25.8758
blue,-4.43025,26.0345
blue,-4.40528,26.1927
blue,-4.37779,26.3506
blue,-4.34784,26.508
blue,-4.31547,26.665
blue,-4.28074,26.8215
blue,-4.24371,26.9776
blue,-4.20443,27.1331
blue,-4.16295,27.2882
blue,-4.11934,27.4427
blue,-4.07363,27.5967
blue,-4.0259,27.7501
blue,-3.97619,27.9029
blue,-3.92456,28.0552
blue,-3.87107,28.2069
blue,-3.81576,28.358
blue,-3.75869,28.5084
blue,-3.69992,28.6582
blue,-3.63951,28.8074
blue,-3.5775,28.9559
blue,-3.514,29.1036
blue,-3.44907,29.2505
blue,-3.38272,29.3968
blue,-3.31499,29.5424
blue,-3.24594,29.6874
blue,-3.17563,29.8318
blue,-3.10411,29.9756
blue,-3.03142,30.1188
blue,-2.95764,30.2615
blue,-2.8828,30.4036
blue,-2.80697,30.5452
blue,-2.73019,30.6864
blue,-2.65253,30.827
blue,-2.57402,30.9672
blue,-2.49474,31.1069
blue,-2.41472,31.2463
blue,-2.33403,31.3852
blue,-2.25272,31.5237
blue,-2.17084,31.6619
blue,-2.08832,31.7999
blue,-2.0053,31.9376
blue,-1.92184,32.0749
blue,-1.83795,32.212
blue,-1.75366,32.3488
blue,-1.66901,32.4854
blue,-1.58403,32.6217
blue,-1.49875,32.7578
blue,-1.4132,32.8938
blue,-1.32741,33.0295
blue,-1.24141,33.1651
blue,-1.15523,33.3006
blue,-1.0689,33.436
blue,-0.982449,33.5713
blue,-0.895913,33.7066
blue,-0.809321,33.8418
blue,-0.722702,33.977
blue,-0.636088,34.1121
blue,-0.549488,34.2474
blue,-0.462914,34.3827
blue,-0.376396,34.518
blue,-0.289938,34.6534
blue,-0.203542,34.7888
blue,-0.117211,34.9243
blue,-0.030948,35.0598
blue,0.0552437,35.1953
blue,0.141361,35.3309
blue,0.227402,35.4666
blue,0.313363,35.6022
blue,0.399241,35.738
blue,0.485034,35.8738
blue,0.570737,36.0096
blue,0.656349,36.1456
blue,0.741867,36.2815
blue,0.827287,36.4176
blue,0.912607,36.5537
blue,0.997823,36.6899
blue,1.08292,36.8261
blue,1.16792,36.9624
blue,1.25282,37.0987
blue,1.33762,37.2351
blue,1.42234,37.3716
blue,1.50696,37.5081
blue,1.5915,37.6447
blue,1.67597,37.7813
blue,1.76036,37.918
blue,1.84468,38.0547
blue,1.92893,38.1915
blue,2.01312,38.3283
blue,2.09725,38.4652
blue,2.18133,38.602
blue,2.26536,38.7389
blue,2.34934,38.8759
blue,2.43328,39.0128
blue,2.51718,39.1498
blue,2.60104,39.2868
blue,2.68488,39.4238
blue,2.76869,39.5609
blue,2.85247,39.6979
blue,2.93622,39.835
blue,3.01996,39.9721
blue,3.10368,40.1092
blue,3.18739,40.2463
blue,3.27108,40.3834
blue,3.35476,40.5205
blue,3.43844,40.6576
blue,3.52211,40.7947
blue,3.60578,40.9318
blue,3.68944,41.069
blue,3.77312,41.2061
blue,3.85679,41.3432
blue,3.94048,41.4803
blue,4.02418,41.6174
blue,4.10789,41.7545
blue,4.19162,41.8916
blue,4.27537,42.0286
blue,4.35914,42.1657
blue,4.44293,42.3028
blue,4.52675,42.4398
blue,4.6106,42.5768
blue,4.69448,42.7138
blue,4.77839,42.8508
blue,4.86235,42.9877
blue,4.94634,43.1246
blue,5.03037,43.2615
blue,5.11445,43.3984
blue,5.19858,43.5352
blue,5.28275,43.672
blue,5.36698,43.8088
blue,5.45127,43.9455
blue,5.53561,44.0823
blue,5.62001,44.2189
blue,5.70448,44.3555
blue,5.78901,44.4921
blue,5.87361,44.6287
blue,5.95827,44.7652
blue,6.043,44.9016
blue,6.12781,45.0381
blue,6.21268,45.1744
blue,6.29763,45.3108
blue,6.38265,45.447
blue,6.46774,45.5833
blue,6.55291,45.7195
blue,6.63815,45.8556
blue,6.72347,45.9917
blue,6.80888,46.1278
blue,6.89436,46.2638
blue,6.97992,46.3997
blue,7.06556,46.5356
blue,7.15129,46.6715
blue,7.2371,46.8073
blue,7.32299,46.943
blue,7.40896,47.0787
blue,7.49504,47.2143
blue,7.58123,47.3498
blue,7.66753,47.4853
blue,7.75396,47.6207
blue,7.84053,47.756
blue,7.92724,47.8912
blue,8.01411,48.0263
blue,8.10113,48.1613
blue,8.18832,48.2962
blue,8.27569,48.431
blue,8.36325,48.5657
blue,8.45101,48.7002
blue,8.53896,48.8346
blue,8.62713,48.9689
blue,8.71552,49.1031
blue,8.80414,49.2371
blue,8.893,49.3709
blue,8.98211,49.5046
blue,9.07149,49.6381
blue,9.16116,49.7714
blue,9.25114,49.9045
blue,9.34145,50.0374
blue,9.43212,50.17
blue,9.52316,50.3024
blue,9.61459,50.4345
blue,9.70644,50.5662
blue,9.79872,50.6977
blue,9.89146,50.8289
blue,9.98468,50.9597
blue,10.0784,51.0901
blue,10.1726,51.2202
blue,10.2674,51.3498
blue,10.3627,51.4791
blue,10.4586,51.6079
blue,10.5551,51.7362
blue,10.6523,51.8641
blue,10.75,51.9915
blue,10.8484,52.1185
blue,10.9474,52.245
blue,11.047,52.371
blue,11.1473,52.4965
blue,11.2481,52.6215
blue,11.3496,52.746
blue,11.4517,52.87
blue,11.5544,52.9935
blue,11.6577,53.1165
blue,11.7617,53.239
blue,11.8662,53.3609
blue,11.9714,53.4824
blue,12.0771,53.6033
blue,12.1835,53.7237
blue,12.2905,53.8435
blue,12.3981,53.9628
blue,12.5062,54.0816
blue,12.615,54.1998
blue,12.7243,54.3174
blue,12.8343,54.4345
blue,12.9448,54.5511
blue,13.0559,54.667
blue,13.1677,54.7824
blue,13.28,54.8973
blue,13.3929,55.0115
blue,13.5063,55.1252
blue,13.6204,55.2384
blue,13.735,55.3509
blue,13.8502,55.4628
blue,13.966,55.5742
blue,14.0823,55.685
blue,14.1993,55.7951
blue,14.3167,55.9047
blue,14.4348,56.0137
blue,14.5534,56.122
blue,14.6725,56.2298
blue,14.7923,56.3369
blue,14.9126,56.4434
blue,15.0334,56.5492
blue,15.1548,56.6544
blue,15.2768,56.759
blue,15.3993,56.8628
blue,15.5225,56.966
blue,15.6462,57.0685
blue,15.7704,57.1703
blue,15.8953,57.2713
blue,16.0207,57.3717
blue,16.1467,57.4713
blue,16.2733,57.5701
blue,16.4005,57.6682
blue,16.5282,57.7655
blue,16.6566,57.8621
blue,16.7856,57.9578
blue,16.9151,58.0528
blue,17.0452,58.1469
blue,17.176,58.2402
blue,17.3073,58.3327
blue,17.4392,58.4244
blue,17.5717,58.5152
blue,17.7048,58.6052
blue,17.8384,58.6943
blue,17.9726,58.7825
blue,18.1074,58.8699
blue,18.2428,58.9564
blue,18.3787,59.042
blue,18.5151,59.1268
blue,18.6522,59.2106
blue,18.7897,59.2935
blue,18.9279,59.3755
blue,19.0665,59.4566
blue,19.2057,59.5368
blue,19.3455,59.616
blue,19.4857,59.6943
blue,19.6265,59.7716
blue,19.7678,59.8479
blue,19.9096,59.9233
blue,20.052,59.9978
blue,20.1948,60.0712
blue,20.3382,60.1437
blue,20.482,60.2151
blue,20.6264,60.2856
blue,20.7712,60.355
blue,20.9165,60.4234
blue,21.0623,60.4908
blue,21.2086,60.5572
blue,21.3554,60.6225
blue,21.5026,60.6868
blue,21.6503,60.75
blue,21.7984,60.8121
blue,21.947,60.8732
blue,22.0961,60.9332
blue,22.2455,60.9921
blue,22.3954,61.0498
blue,22.5457,61.1065
blue,22.6964,61.162
blue,22.8476,61.2165
blue,22.9991,61.2697
blue,23.1511,61.3218
blue,23.3035,61.3727
blue,23.4562,61.4225
blue,23.6093,61.4711
blue,23.7628,61.5184
blue,23.9167,61.5645
blue,24.0709,61.6095
blue,24.2255,61.6531
blue,24.3804,61.6956
blue,24.5356,61.7367
blue,24.6912,61.7766
blue,24.8471,61.8152
blue,25.0034,61.8525
blue,25.1601,61.8885
blue,25.317,61.9232
blue,25.4742,61.9566
blue,25.6317,61.9886
blue,25.7894,62.0192
blue,25.9474,62.0485
blue,26.1056,62.0764
blue,26.2641,62.1028
blue,26.4228,62.1279
blue,26.5816,62.1515
blue,26.7407,62.1737
blue,26.8999,62.1945
blue,27.0594,62.2138
blue,27.2189,62.2316
blue,27.3787,62.2479
blue,27.5385,62.2627
blue,27.6985,62.276
blue,27.8586,62.2877
blue,28.0188,62.298
blue,28.1791,62.3067
blue,28.3395,62.3139
blue,28.4999,62.3197
blue,28.6604,62.324
blue,28.821,62.327
blue,28.9816,62.3285
blue,29.1422,62.3287
blue,29.3028,62.3276
blue,29.4634,62.3252
blue,29.624,62.3215
blue,29.7846,62.3166
blue,29.9452,62.3105
blue,30.1057,62.3032
blue,30.2662,62.2947
blue,30.4267,62.2851
blue,30.587,62.2744
blue,30.7473,62.2626
blue,30.9074,62.2497
blue,31.0675,62.2359
blue,31.2274,62.221
blue,31.3873,62.2051
blue,31.547,62.1883
blue,31.7067,62.1706
blue,31.8662,62.1519
blue,32.0256,62.1324
blue,32.185,62.1119
blue,32.3442,62.0907
blue,32.5033,62.0686
blue,32.6623,62.0457
blue,32.8212,62.0221
blue,32.9799,61.9977
blue,33.1386,61.9725
blue,33.2971,61.9467
blue,33.4556,61.9201
blue,33.6139,61.8929
blue,33.772,61.8651
blue,33.9302,61.8366
blue,34.0882,61.8076
blue,34.2461,61.7779
blue,34.4039,61.7478
blue,34.5616,61.717
blue,34.7191,61.6858
